TYPEANA;TYPEANA_LABEL
ACCTT.070;Temps malade. . . . . . . . .
ACCTT.075;2H A 37 DEGRES ?
ACCTT.080;*LIGNE BLANCHE
ACCTT.085;*     APRES 2H.A 37 DEGRES
ACCTT.090;Temps temoin. . . . . . . . .
ACCTT.095;Temps temoin + malade. . . . .
ACCTT.100;Temps malade. . . . . . . . .
ACCTT.105;RECHERCHE D'INHIBITEUR
ACC1H.ACC1H-MAL;Temps Malade
ACC1H.ACC1H-ROSN;calcul
ACC1H.ACC1H-ROSN2;Rosner
ACC1H.ACC1H-TEM-MAL;Temps Témoin+Malade
ACC1H.ACC1H-TEM;Temps Témoin
ACC11.000;RECH. OU TITRAGE DE L'ACC F11
ACC11.005;Anticoagulant Circulant ANTI XI
ACC11.010;-------------------------------
ACC11.015;Recherche:
ACC11.020;Titre:
ACC12.000;RECH.TITRA. DE L'ACC F12
ACC12.005;Anticoagulant Circulant ANTI XII
ACC12.010;--------------------------------
ACC12.015;Recherche :
ACC12.020;Titre :
ACC2H.ACC2H-COM;Commentaire
ACC2H.ACC2H-CONC;Conclusion
ACC2H.ACC2H-MAL;Temps Malade
ACC2H.ACC2H-MEL;Temps Témoin+Malade
ACC2H.ACC2H-ROS;Rosner
ACC2H.ACC2H-TEM;Temps Témoin
ACC8.000;RECH.TITR.ANTI VIII
ACC8.005;Anticoagulant Circulant ANTI VIII
ACC8.010;---------------------------------
ACC8.015;Recherche :
ACC8.020;Titre :
ACC8.025;ou
ACC9.000;RECH.TITR.ANTI IX
ACC9.005;Anticoagulant Circulant ANTI IX
ACC9.010;-------------------------------
ACC9.015;Recherche :
ACC9.020;Titre :
ACC9.025;ou
ACD3C.ACD3CONC0;sans mitogène
ACD3C.ACD3CONC1;dilution 1
ACD3C.ACD3CONC2;dilution 2
ACD3C.ACD3CONC3;dilution 3
ACD3IN.ACD3IN;             Interprétation :
ACD3M.ACD3MAL0;sans mitogène
ACD3M.ACD3MAL1;dilution 1
ACD3M.ACD3MAL2;dilution 2
ACD3M.ACD3MAL3;dilution 3
ACD3MI.ACD3MINDX0;sans mitogène
ACD3MI.ACD3MINDX1;dilution 1
ACD3MI.ACD3MINDX2;dilution 2
ACD3MI.ACD3MINDX3;dilution 3
ACD3T.ACD3TEM0;sans mitogène
ACD3T.ACD3TEM1;dilution 1
ACD3T.ACD3TEM2;dilution 2
ACD3T.ACD3TEM3;dilution 3
ACD3TI.ACD3TINDX0;sans mitogène
ACD3TI.ACD3TINDX1;dilution 1
ACD3TI.ACD3TINDX2;dilution 2
ACD3TI.ACD3TINDX3;dilution 3
ACE.ACE;Antigène carcino embryonnaire
ACE.ACER;Antigène carcino embryonnaire
