TYPEANA;TYPEANA_LABEL
BG_ADNLEP.BG_ADNLEP_NAT;PCR Leptospira sp - Nature de prélèvement
BG_ADNLEP.BG_ADNLEP_PVT;PCR Leptospira sp - Nature pvt calculée
BG_ADNLEP.BG_ADNLEP_RES;PCR Leptospira sp - Résultat
BG_ADNLEP.BG_ADNLEP_ST;PCR Leptospira sp - Statut
BG_ADNLEP.BG_ADNLEP_TEC;PCR Leptospira sp - Technique
BG_ADNLEPN.BG_ADNLEPN_COM;PCR Legionella pneumophila - Commentaire
BG_ADNLEPN.BG_ADNLEPN_CT;PCR Legionella pneumophila - Ct
BG_ADNLEPN.BG_ADNLEPN_CTS;PCR Legionella pneumophila - Ct souche
BG_ADNLEPN.BG_ADNLEPN_RES;PCR Legionella pneumophila - Résultat
BG_ADNLEPN.BG_ADNLEPN_ST;PCR Legionella pneumophila - Statut
BG_ADNLEPN.BG_ADNLEPN_TEC;PCR Legionella pneumophila - Technique
BG_ADNLESP.BG_ADNLESP_COM;PCR Legionella sp - Commentaire
BG_ADNLESP.BG_ADNLESP_CT;PCR Legionella sp - Ct
BG_ADNLESP.BG_ADNLESP_CTS;PCR Legionella sp - Ct souche
BG_ADNLESP.BG_ADNLESP_RES;PCR Legionella sp - Résultat
BG_ADNLESP.BG_ADNLESP_ST;PCR Legionella sp - Statut
BG_ADNLESP.BG_ADNLESP_TEC;PCR Legionella sp - Technique
BG_ADNLPV.BG_ADNLPV_COM;Recherche du gène LPV  - Commentaire
BG_ADNLPV.BG_ADNLPV_CT;Recherche du gène LPV  - Ct
BG_ADNLPV.BG_ADNLPV_CTS;Recherche du gène LPV  - Ct souche
BG_ADNLPV.BG_ADNLPV_NAT;Recherche du gène LPV  - Nature de prélèvement
BG_ADNLPV.BG_ADNLPV_RES;Recherche du gène LPV  - Résultat
BG_ADNLPV.BG_ADNLPV_ST;Recherche du gène LPV  - Statut
BG_ADNLPV.BG_ADNLPV_TEC;Recherche du gène LPV  - Technique
BG_ADNLYT.BG_ADNLYT_COM;PCR Pneumo lytA - Commentaire
BG_ADNLYT.BG_ADNLYT_CT;PCR Pneumo lytA - Ct
BG_ADNLYT.BG_ADNLYT_CTS;PCR Pneumo lytA - Ct souche
BG_ADNLYT.BG_ADNLYT_NAT;PCR Pneumo lytA - Nature de prélèvement
BG_ADNLYT.BG_ADNLYT_PVT;PCR Pneumo lytA - Nature pvt calculée
BG_ADNLYT.BG_ADNLYT_RES;PCR Pneumo lytA - Résultat
BG_ADNLYT.BG_ADNLYT_TEC;PCR Pneumo lytA - Technique
BG_ADNM.BG_ADNM_COM;PCR Neisseria meningitidis - Commentaire
BG_ADNM.BG_ADNM_CT;PCR Neisseria meningitidis - Ct
BG_ADNM.BG_ADNM_CTS;PCR Neisseria meningitidis - Ct souche
BG_ADNM.BG_ADNM_NAT;PCR Neisseria meningitidis - Nature de prélèvement
BG_ADNM.BG_ADNM_PVT;PCR Neisseria meningitidis - Nature pvt calculée
BG_ADNM.BG_ADNM_RES;PCR Neisseria meningitidis - Résultat
BG_ADNM.BG_ADNM_ST;PCR Neisseria meningitidis - Statut
BG_ADNM.BG_ADNM_TEC;PCR Neisseria meningitidis - Technique
BG_ADNMEC.BG_ADNMEC_COM;Recherche du gène mecA  - Commentaire
BG_ADNMEC.BG_ADNMEC_CT;Recherche du gène mecA  - Ct
