SEJUF;SEJUF_LABEL
6212;UNITE HC UROLOGIE
5653;NEURO.5ème ETAGE DV2
5654;URGENCES NEURO.POLYV
5657;NEURO.SI NEUROVASC.
5659;REA. NEONATALE
5661;REA. PEDIATRIQUE
2860;RHUMATOLOGIE.KINE.
2270;RHUMATO.ACTES TECH.
1921;UF GENERIQUE VISC
1941;UPR DU POLE VISC
1922;UF GENERIQUE OARC
1942;UPR DU POLE OARC
1923;UF GENERIQUE FME
1943;UPR DU POLE FME
1214;BIO NETTOYAGE OISSEL
1924;UF GENERIQUE TEC
1944;UPR DU POLE TEC
1215;BIO NETTOYAGE BOUCIC
1925;UF GENERIQUE THV
1945;UPR DU POLE THV
6242;REA.CHIR.CARDIAQUE
6244;USCPO REA CHIR CARD
5624;PED.MED.HEMODIALYSE
5610;HEMATO-ONCOLOGIE PED
6155;REA CHIR PEDIATRIQUE
8239;DERMATO PLAIES CICA
2446;PLATEFOR COVID19 REG
2445;CRBI
2450;ANATOMO.TUMOROTHEQUE
2451;ANATOMOPATHOLOGIE
2452;GEN.SOMATIQUE TUMEUR
2485;BDR CECOS
2486;GERMETHEQUE ROUEN
2470;MICROBIO.HYG.HOSP.CN
2471;ASPERGILLOSE
1929;UF GENERI GERIAT H
1948;UPR GERIA BUDGET J
1949;UPR GERIA BUDGET H
8457;E.M.E.D
1935;UF GENERIQUE POLE 3R
1955;UPR DU POLE 3R
1928;UF GEN. POLE SPESM
5632;PNEUMOLOGIE DAVIEL
5642;DERMATO. ALIBERT
6282;REA.CHIR.UNITE 70
6283;REA.CHIR.UNITE 71
6310;CHIR.DIG.JEAN LOYGUE
6320;CHIR.DIG.MONDOR
6141;CHIR MAXILLO FACIALE
5947;RECHERCHE CIC HOSP.
5125;ADDICTOLOGIE UNITE P
2438;GENETIQUE MOLECUL.
2444;STRUCT. COORDINATION
2447;ALZHEIMER JEUNE
2448;GENETIQUE APPEL PROJ
2449;MICROREMANIEMENT
2453;CYTOGENETIQUE
2457;INST NORM GEN MED
8941;RETROCESSIONS HCN
8943;CESSIONS DEMUNIS
8940;VENTE EXT. INSTITUT.
8944;REQUISITIONS POLICE
2316;PHARMACIE
2620;OBS SALLE NAISSANCE
2730;GYN.OBST.DIAG.PRENAT
3150;ONCOGERIATRIE
8150;MED GER EQU MOBILE
8151;EQUIPE MOB.GER.EHPAD
8152;PLATEFORME COORD GER
5300;U.R.SOINS PALLIATIFS
8456;PLATEFORME DE REPIT
2559;FILIERE CHIR VASCULA
2750;BANQUE TISSUS IBC 3E
8760;ORL CHIR CERVICO FAC
2850;ORL PED.ORTHOPHONIE
2201;CARDIO.EXAM.COMPLEM.
2211;CARDIO.CATHE.CARD.
2213;CARDIO EF AUTRES
2260;PNEUMO.CN ENDOSCOPIE
1120;DIRECTION QUALITE
1232;MECENAT
2502;IMA VASC INT BAT CEN
2511;IMAGERIE CONVENT HCN
2514;IMAG CONVENT OISSEL
2516;IMAGERIE SCANNER HCN
2517;IMAGERIE ECHOGRA HCN
2522;IMAG VASC INTERV ROB
2525;IMAG.OSTEOARTI.IRM 2
2526;IMAGERIE MAMMO HCN
2533;IMAG.MED.ANCIEN HCN
2261;PNEUMO HCN ALLERGOL.
1178;PLATEFORME DAHLIB
1194;PLATEFORME LOG MUTUA
1236;BASE ARCHIVES SOTTEV
7121;SMR GERIA 1 PREV
7146;SMR GERIA ARGILIERE
7190;SMR AFF NEURO ARG
1271;MEDIATION SECURI INT
1277;DIRECTION SSE
2549;IMAG.MED.NEURO IRM 1
2560;IMAG.MED.PED.IRM 2
2576;IMAGERIE IRM 4 HCN
2541;IMAG CONVENT URG HCN
2542;IMAG SCANNER URG HCN
2546;IMAG ECHOGRA URG HCN
2513;IMAGERIE CONVENT BG
2520;IMAGERIE SCANNER BG
2212;CHIR CARD MEDICOTECH
8141;EQUIPE MOBILE DIABET
2721;N.EXPLORAT.NUTRITIO.
2250;H.G.E.ENDOSCOPIE AG
7139;SMR UCC OISSEL
7133;SMR SOINS SUPP PREV
7137;SMR GERIA OISSEL
2532;IMAGERIE ECHOGRA BG
2521;IMAG CONV PEDIA FOET
2531;IMAG ECHO PEDIA FOET
2535;IMAG.PED ECHO.PME
2562;IMAG.PED.ACTES SCAN
2570;IMAGERIE PED.PME
2590;IMAG CONVENT ST JULI
2591;IMAGER ECHOGR ST JUL
2592;IMAG SCAN ST JUL CHU
2593;IMAG SCAN ST JUL GIE
2255;H.G.E.ENDOSC.IMAG.DI
2722;GASTRO.ENDOSC.ANESTH
8110;GASTRO.CONSULTATIONS
2710;UROLOGIE LITHO.
2210;CS PNEUMOLOGIE ST J.
6240;CHIR THO ET CARD
1041;NORMAND HYGIENE
1810;PREV.INFECT.NOSOCOM.
1811;RESEAU HYGIENE
6411;MEDECINE GER A UPOG
6430;ORTHOPEDIE RACHIS
6440;RHUMATOLOGIE RACHIS
6530;ACCUEIL J0 N4 ROBEC
6605;IMAGERIE HDJ
8820;PSYCHIATRIE CS
2611;BLOC SPE CHIR VASCUL
2613;BLOC SPE SOS MAINS
2615;BLOC SPE CHIR DIG M4
2616;BLOC SPE ORTHOPEDIE
2617;BLOC SPE CHIR PLASTI
2618;BLOC SPE CHIR THORAC
2621;BLOC SPE CHIR INFANT
2622;BLOC SPE CHIR GYNECO
2623;BLOC SPEC OPHTALMOLO
2624;BLOC SPECIALITE ORL
2625;BLOC SPE ORL PED AUD
2626;BLOC SPECIALI NEUROC
1240;ARCHIVES CENTRALES
I032;CAMEROUN DGOS
7105;EHPAD ST JULIEN RDC
7106;EHPAD ST JULIEN 1ER
2115;SMUR
8135;ADDICTO.SOINS AMBU.
8136;ADDICTOLOGIE LIAISON
8300;SOINS PALLIATIFS
8301;EQUIPE TERR S PALLIA
8305;EMSP EHPAD
6830;ALIMENT PARENTERALE
2677;BLOC LOC ROBOT MOD 4
2678;BLOC PDS ROBEC N3
2117;SMUR PEDIATRIE
